imdb_id,actor_name
tt10811166,Vivek Agnihotri
tt10811166,Mithun Chakraborty
tt10811166,Anupam Kher
tt10811166,Darshan Kumaar
tt10811166,Pallavi Joshi
tt1187043,Rajkumar Hirani
tt1187043,Aamir Khan
tt1187043,Madhavan
tt1187043,Mona Singh
tt1187043,Sharman Joshi
tt0986264,Aamir Khan
tt0986264,Amole Gupte
tt0986264,Darsheel Safary
tt0986264,Aamir Khan
tt0986264,Tisca Chopra
tt0986264,Vipin Sharma
tt5074352,Nitesh Tiwari
tt5074352,Aamir Khan
tt5074352,Sakshi Tanwar
tt5074352,Fatima Sana Shaikh
tt5074352,Sanya Malhotra
tt2338151,Rajkumar Hirani
tt2338151,Aamir Khan
tt2338151,Anushka Sharma
tt2338151,Sanjay Dutt
tt2338151,Boman Irani
tt2239822,Luc Besson
tt2239822,Dane DeHaan
tt2239822,Cara Delevingne
tt2239822,Clive Owen
tt2239822,Rihanna
tt10888594,Prabhu Deva
tt10888594,Salman Khan
tt10888594,Disha Patani
tt10888594,Randeep Hooda
tt10888594,Jackie Shroff
tt8110330,Mukesh Chhabra
tt8110330,Sushant Singh Rajput
tt8110330,Sanjana Sanghi
tt8110330,Sahil Vaid
tt8110330,Saswata Chatterjee
tt0405508,Rakeysh Omprakash Mehra
tt0405508,Aamir Khan
tt0405508,Soha Ali Khan
tt0405508,Siddharth
tt0405508,Sharman Joshi
tt10295212,Vishnuvardhan
tt10295212,Sidharth Malhotra
tt10295212,Kiara Advani
tt10295212,Shiv Panditt
tt10295212,Pranay Pachauri
tt0169102,Ashutosh Gowariker
tt0169102,Aamir Khan
tt0169102,Raghuvir Yadav
tt0169102,Gracy Singh
tt0169102,Rachel Shelley
tt1188996,Karan Johar
tt1188996,Shah Rukh Khan
tt1188996,Kajol
tt1188996,Sheetal Menon
tt1188996,Katie Amanda Keane
tt7886848,Mahesh Bhatt
tt7886848,Alia Bhatt
tt7886848,Sanjay Dutt
tt7886848,Priyanka Bose
tt7886848,Aditya Roy Kapoor
tt1954470,Anurag Kashyap
tt1954470,Manoj Bajpayee
