imdb_id,director_name
tt10811166,Vivek Agnihotri
tt1187043,Rajkumar Hirani
tt0986264,Aamir Khan
tt5074352,Nitesh Tiwari
tt2338151,Rajkumar Hirani
tt2239822,Luc Besson
tt10888594,Prabhu Deva
tt8110330,Mukesh Chhabra
tt0405508,Rakeysh Omprakash Mehra
tt10295212,Vishnuvardhan
tt0169102,Ashutosh Gowariker
tt1188996,Karan Johar
tt7886848,Mahesh Bhatt
tt1954470,Anurag Kashyap
tt8108198,Sriram Raghavan
tt0367110,Ashutosh Gowariker
tt3863552,Kabir Khan
tt2082197,Anurag Basu
tt0374887,Rajkumar Hirani
tt4430212,Nishikant Kamat
tt0871510,Shimit Amin
tt1562872,Zoya Akhtar
tt9531772,Rohit Shetty
tt10280276,David Dhawan
tt0292490,Farhan Akhtar
tt0347304,Nikkhil Advani
tt2356180,Rakeysh Omprakash Mehra
tt0242519,Priyadarshan
tt3322420,Vikas Bahl
tt1821480,Sujoy Ghosh
tt5461944,Anthony Maras
tt1166100,A.R. Murugadoss
tt8291224,Aditya Dhar
tt6571548,Ramin Bahrani
tt2574698,Ali Abbas Zafar
tt2283748,Umesh Shukla
tt3848892,Neeraj Pandey
tt10350922,Lawrence Raghavendra
tt4387040,Raja Menon
tt2377938,Neeraj Pandey
tt2350496,Ritesh Batra
tt0073707,Ramesh Sippy
tt3390572,Vishal Bhardwaj
tt2176013,Yash Chopra
tt4169250,Neeraj Pandey
tt2112124,Rohit Shetty
tt6452574,Rajkumar Hirani
tt0109117,Rajkumar Santoshi
tt1285241,Farhan Akhtar
tt0420332,Yash Chopra
tt1093370,Imtiaz Ali
tt0172684,Karan Johar
tt9052870,Nitesh Tiwari
tt1182937,Aditya Chopra
tt10083340,Sanjay Leela Bhansali
tt0456144,Rajkumar Hirani
tt7431594,Remo D'Souza
tt1833673,Vijay Krishna Acharya
tt4832640,Ali Abbas Zafar
tt3495026,Maneesh Sharma
tt1639426,Vikramaditya Motwane
tt5571734,Aniruddha Roy Chowdhury
tt3405236,Rahul Dholakia
tt1839596,Imtiaz Ali
tt2178470,Ayan Mukherjee
tt1024943,Farah Khan
tt8239946,Rahi Anil Barve
tt1787988,Reema Kagti
tt0238936,Sanjay Leela Bhansali
tt10733228,Shakun Batra
tt13491110,Mahesh Manjrekar
tt13510660,Ram Madhvani
tt10280296,Shoojit Sircar
tt5946128,Gauri Shinde
tt2395469,Zoya Akhtar
tt7212754,Anurag Basu
tt10895576,Rajesh Bhatia
tt0461936,Farhan Akhtar
tt2461132,Farah Khan
tt2213054,Abhishek Kapoor
tt1620933,Tigmanshu Dhulia
tt0347473,Farah Khan
tt4934950,Meghna Gulzar
tt0375611,Sanjay Leela Bhansali
tt10350626,Sharan Sharma
tt11045422,Rakeysh Omprakash Mehra
tt3735246,Sanjay Leela Bhansali
tt4535650,Rohit Shetty
tt2016894,Kabir Khan
tt10699086,Farhad Samji
tt7518786,Kabir Khan
tt7725596,Amit Ravindernath Sharma
tt0066763,Hrishikesh Mukherjee
tt8108202,Amar Kaushik
tt10964430,Anubhav Sinha
tt0439662,Kunal Kohli
tt10324144,Anubhav Sinha
tt8108268,Vivek Agnihotri
tt2359810,Aanand L. Rai
tt1620719,Abhinav Kashyap
tt0449994,Ashutosh Gowariker
