imdb_id,keyword
tt10811166,Kashmiri Pandit Community
tt10811166,Kashmir Files'
tt10811166,Genocide of Kashmiri
tt10811166,Kashmiri Pandit
tt10811166,Pandit Community
tt1187043,long lost companion
tt1187043,lost companion
tt1187043,long lost
tt1187043,companion
tt1187043,friends are searching
tt0986264,boy is thought
tt0986264,lazy trouble-maker
tt0986264,struggles in school
tt0986264,art teacher
tt0986264,patience and compassion
tt5074352,Mahavir Singh Phogat
tt5074352,wrestler Mahavir Singh
tt5074352,Mahavir Singh
tt5074352,Singh Phogat
tt5074352,Commonwealth Games
tt2338151,alien on Earth
tt2338151,Earth loses
tt2338151,Earth
tt2338151,child-like questions force
tt2338151,spaceship
tt2239822,force threatens Alpha
tt2239822,dark force threatens
tt2239822,thousand planets
tt2239822,threatens Alpha
tt2239822,dark force
tt10888594,ACP Rajveer Shikawat
tt10888594,gangster Gani Bhai
tt10888594,Rajveer Shikawat aka
tt10888594,Shikawat aka Radhe
tt10888594,dreaded gangster Gani
tt8110330,suffering from cancer
tt8110330,love youngsters
tt8110330,young girl
tt8110330,support group
tt8110330,emotional journey
tt0405508,young Indians
tt0405508,Indians who assist
tt0405508,assist an English
tt0405508,English woman
tt0405508,woman to film
tt10295212,Capt. Vikram Batra
tt10295212,PVC awardee Indian
tt10295212,Indian soldier Capt.
tt10295212,soldier Capt. Vikram
tt10295212,awardee Indian soldier
tt0169102,Victorian India stake
tt0169102,ruthless British rulers
tt0169102,Victorian India
tt0169102,British rulers
tt0169102,village in Victorian
tt1188996,Indian Muslim man
tt1188996,Indian Muslim
tt1188996,United States
tt1188996,Muslim man
tt1188996,man with Asperger
tt7886848,Sadak left
tt7886848,stay alive
tt7886848,film picks
tt7886848,young girl
tt7886848,important character
tt1954470,Shahid Khan leads
tt1954470,deadly blood feud
tt1954470,blood feud spanning
tt1954470,Sultan and Shahid
tt1954470,Shahid Khan
tt8108198,mysterious events change
tt8108198,blind pianist
tt8108198,series of mysterious
tt8108198,mysterious events
tt8108198,events change
tt0367110,successful Indian scientist
tt0367110,Indian scientist returns
tt0367110,nanny to America
tt0367110,rediscovers his roots
tt0367110,successful Indian
tt3863552,young mute Pakistani
tt3863552,mute Pakistani girl
tt3863552,Pakistani girl back
tt3863552,Indian man
tt3863552,mute Pakistani
tt2082197,young people learn
tt2082197,normal and abnormal
tt2082197,young people
tt2082197,people learn
tt2082197,learn that love
tt0374887,gangster sets
tt0374887,fulfill his father
tt0374887,father dream
tt0374887,doctor
tt0374887,gangster
tt4430212,Desperate measures
tt4430212,unexpected crime
tt4430212,save his family
tt4430212,dark side
tt4430212,commit an unexpected
tt0871510,Indian Women National
tt0871510,Women National Hockey
tt0871510,National Hockey Team
tt0871510,all-girls team emerge
tt0871510,team emerge victorious
tt1562872,decide to turn
tt1562872,turn their fantasy
tt1562872,fantasy vacation
tt1562872,vacation into reality
tt1562872,friends decide
tt9531772,DCP Veer Sooryavanshi
tt9531772,Squad in India
tt9531772,DCP Veer
tt9531772,Veer Sooryavanshi
tt9531772,antics of DCP
tt10280276,pandit Jai Kishen
tt10280276,Jai Kishen teaches
tt10280276,businessman named Rosario
tt10280276,rich businessman named
tt10280276,Jai Kishen
tt0292490,inseparable childhood friends
tt0292490,inseparable childhood
tt0292490,childhood friends
tt0292490,college
tt0292490,inseparable
tt0347304,perpetually depressed girl
tt0347304,depressed girl life
tt0347304,perpetually depressed
tt0347304,meets Aman
tt0347304,depressed girl
tt2356180,Milkha Singh
tt2356180,ascension of Milkha
tt2356180,India-Pakistan partition
tt2356180,Singh
tt2356180,Milkha
tt0242519,money problems
tt0242519,opportunity arrives
tt0242519,unemployed men
tt0242519,problems
tt0242519,arrives
tt3322420,traditional family sets
tt3322420,Delhi girl
tt3322420,marriage gets cancelled
tt3322420,traditional family
tt3322420,family sets
tt1821480,pregnant woman search
tt1821480,London to Kolkata
tt1821480,pregnant woman
tt1821480,woman search
tt1821480,missing husband
tt5461944,Taj Hotel terrorist
tt5461944,attack in Mumbai
tt5461944,Hotel terrorist attack
tt5461944,Taj Hotel
tt5461944,true story
tt1166100,short-term memory loss
tt1166100,memory loss patient
tt1166100,loss patient sets
tt1166100,beloved girl
tt1166100,short-term memory
tt8291224,Indian army special
tt8291224,special forces execute
tt8291224,army special forces
tt8291224,fellow army men
tt8291224,covert operation
tt6571548,ambitious Indian driver
tt6571548,ambitious Indian
tt6571548,Indian driver
tt6571548,York Times bestseller
tt6571548,wit and cunning
tt2574698,Bikram and Bala
tt2574698,powerful Gunday
tt2574698,lives of Calcutta
tt2574698,Calcutta most powerful
tt2574698,Nandita enters
tt2283748,shopkeeper takes God
tt2283748,God to court
tt2283748,shop is destroyed
tt2283748,God
tt2283748,earthquake
tt3848892,elite counter-intelligence unit
tt3848892,counter-intelligence unit learns
tt3848892,maniacal madman
tt3848892,elite counter-intelligence
tt3848892,counter-intelligence unit
tt10350922,wife parents' house
tt10350922,Aasif visits
tt10350922,supposedly haunted
tt10350922,visits his wife
tt10350922,wife parents'
tt4387040,Iraq invades Kuwait
tt4387040,Kuwait in August
tt4387040,callous Indian businessman
tt4387040,stranded countrymen
tt4387040,Iraq invades
tt2377938,income tax officers
tt2377938,con-men rob prominent
tt2377938,rob prominent rich
tt2377938,prominent rich businessmen
tt2377938,tax officers
tt2350496,Mumbai famously efficient
tt2350496,delivery system connects
tt2350496,famously efficient lunchbox
tt2350496,efficient lunchbox delivery
tt2350496,lunchbox delivery system
tt0073707,police officer enlists
tt0073707,ruthless bandit
tt0073707,family is murdered
tt0073707,notorious and ruthless
tt0073707,police officer
tt3390572,young man returns
tt3390572,returns to Kashmir
tt3390572,confront his uncle
tt3390572,father fate
tt3390572,young man
tt2176013,worse than death
tt2176013,woman is made
tt2176013,made to realize
tt2176013,prayers and sacrifice
tt2176013,sacrifice to save
tt4169250,Indian Cricket Team
tt4169250,Mahendra Singh Dhoni
tt4169250,Singh Dhoni journey
tt4169250,Cricket Team
tt4169250,Mahendra Singh
tt2112124,Rameshwaram via Chennai
tt2112124,late grandfather ashes
tt2112124,grandfather ashes unwillingly
tt2112124,caught amidst goons
tt2112124,heading towards Rameshwaram
tt6452574,actor Sanjay Dutt
tt6452574,Sanjay Dutt
tt6452574,jail sentence
tt6452574,actor Sanjay
tt6452574,film career
tt0109117,evil criminal
tt0109117,slackers competing
tt0109117,heiress inadvertently
tt0109117,criminal
tt0109117,slackers
tt1285241,steal currency printing
tt1285241,currency printing plates
tt1285241,Vardhaan from prison
tt1285241,bank in Berlin
tt1285241,escapes with Vardhaan
tt0420332,courage and sacrifice
tt0420332,separation
tt0420332,Veer-Zaara
tt0420332,courage
tt0420332,sacrifice
tt1093370,care-free young woman
tt1093370,depressed wealthy businessman
tt1093370,wealthy businessman finds
tt1093370,young woman
tt1093370,depressed wealthy
tt0172684,best-friend Rahul
tt0172684,Tina
tt0172684,now-deceased Tina
tt0172684,Anjali
tt0172684,Rahul
tt9052870,incident forces Anirudh
tt9052870,tragic incident forces
tt9052870,forces Anirudh
tt9052870,middle-aged man
tt9052870,labelled as losers
tt1182937,goose flesh igniting
tt1182937,ordinary man Suri
tt1182937,awe inspiring love
tt1182937,inspiring love journey
tt1182937,total opposite
tt10083340,powerful underworld figure
tt10083340,underworld figure
tt10083340,powerful underworld
tt10083340,figure
tt10083340,woman
tt0456144,Munna Bhai embarks
tt0456144,corrupt property dealer
tt0456144,Mahatma Gandhi
tt0456144,Munna Bhai
tt0456144,Bhai embarks
tt7431594,criminal family planning
tt7431594,shocking revelations strike
tt7431594,Relationships and loyalties
tt7431594,criminal family
tt7431594,family planning
tt1833673,Indian officers Jai
tt1833673,circus entertainer trained
tt1833673,Jai and Ali
tt1833673,Indian officers
tt1833673,bank in Chicago
tt4832640,classic underdog tale
tt4832640,wrestler journey
tt4832640,defeating all odds
tt4832640,classic underdog
tt4832640,underdog tale
tt3495026,develops an obsession
tt3495026,movie star
tt3495026,Gaurav develops
tt3495026,Bombay to meet
tt3495026,Gaurav
tt1639426,boy returns home
tt1639426,oppressive father
tt1639426,boy returns
tt1639426,returns home
tt1639426,abusive and oppressive
tt5571734,retired lawyer steps
tt5571734,lawyer steps forward
tt5571734,young women
tt5571734,women are implicated
tt5571734,retired lawyer
tt3405236,political trap
tt3405236,bootlegger sets
tt3405236,improve his community
tt3405236,promising leader
tt3405236,leader but falls
tt1839596,big Rock star
tt1839596,Janardhan Jakhar chases
tt1839596,Janardhan Jakhar
tt1839596,Rock star
tt1839596,love with Heer
tt2178470,trekking trip
tt2178470,Kabir leaves India
tt2178470,Kabir
tt2178470,Naina
tt2178470,Kabir leaves
tt1024943,aspiring actor
tt1024943,present day
tt1024943,immediately reincarnated
tt1024943,find Shanti
tt1024943,actor
tt8239946,entire universe
tt8239946,mythological story
tt8239946,goddess who created
tt8239946,created the entire
tt8239946,universe
tt1787988,Inspector Surjan Shekhawat
tt1787988,profile murder case
tt1787988,high profile murder
tt1787988,Surjan Shekhawat
tt1787988,Inspector Surjan
tt0238936,Devdas Mukherjee life
tt0238936,Mukherjee life spirals
tt0238936,Devdas Mukherjee
tt0238936,wealthy family prohibits
