imdb_id,title,year,runtime,rating,votes,plot
tt10811166,The Kashmir Files,(2022),170 min,8.3,548031,"The Kashmir Files' is a story, based on video interviews of the first generation victims of the Genocide of Kashmiri Pandit Community In 1990."
tt1187043,3 Idiots,(2009),170 min,8.4,387020,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
tt0986264,Taare Zameen Par,(2007),165 min,8.3,188938,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
tt5074352,Dangal,(2016),161 min,8.3,183452,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
tt2338151,PK,(2014),153 min,8.1,180108,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.
tt2239822,Valerian and the City of a Thousand Planets,(2017),136 min,6.4,178452,"A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe."
tt10888594,Radhe,(2021),135 min,1.9,176724,"After taking the dreaded gangster Gani Bhai, ACP Rajveer Shikawat aka Radhe goes on a manhunt to find the wealthiest man of the town secretly running a crime syndicate."
tt8110330,Dil Bechara,(2020),101 min,8.1,128813,"The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group."
tt0405508,Rang De Basanti,(2006),167 min,8.1,118221,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
tt10295212,Shershaah,(2021),135 min,8.4,117190,"The story of PVC awardee Indian soldier Capt. Vikram Batra, who shot to fame and became a household name during the Kargil War in 1999."
tt0169102,Lagaan: Once Upon a Time in India,(2001),224 min,8.1,112262,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
tt1188996,My Name Is Khan,(2010),165 min,7.9,105502,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.
tt7886848,Sadak 2,(2020),133 min,1.1,94787,"The film picks up where Sadak left off, revolving around the journey with a young girl who becomes an important character in the life of the protagonist, and the reason for him to stay alive."
tt1954470,Gangs of Wasseypur,(2012),321 min,8.2,93896,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
tt8108198,Andhadhun,(2018),139 min,8.2,89460,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
tt0367110,"Swades: We, the People",(2004),210 min,8.1,89238,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.
tt3863552,Bajrangi Bhaijaan,(2015),163 min,8.1,85251,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.
tt2082197,Barfi!,(2012),151 min,8.1,80884,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.
tt0374887,Munna Bhai M.B.B.S.,(2003),156 min,8.1,80493,A gangster sets out to fulfill his father's dream of becoming a doctor.
tt4430212,Drishyam,(2015),163 min,8.2,79848,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
tt0871510,Chak De! India,(2007),153 min,8.1,79266,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds."
tt1562872,Zindagi Na Milegi Dobara,(2011),155 min,8.1,76141,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.
tt9531772,Sooryavanshi,(2021),145 min,6.4,75379,"Sooryavanshi traces the acts and serious antics of DCP Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India."
tt10280276,Coolie No. 1,(2020),134 min,4.2,73288,"After being insulted by a rich businessman named Rosario, pandit Jai Kishen teaches him a lesson by getting his daughter married to Raju - a Coolie posing as a millionaire."
tt0292490,Dil Chahta Hai,(2001),183 min,8.1,71311,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension."
tt0347304,Kal Ho Naa Ho,(2003),186 min,7.9,68228,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
tt2356180,Bhaag Milkha Bhaag,(2013),186 min,8.2,66926,"The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition."
tt0242519,Hera Pheri,(2000),156 min,8.1,65258,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?"
tt3322420,Queen,(2013),146 min,8.1,65201,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.
tt1821480,Kahaani,(2012),122 min,8.1,62322,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him."
tt5461944,Hotel Mumbai,(2018),123 min,7.6,61895,The true story of the Taj Hotel terrorist attack in Mumbai. Hotel staff risk their lives to keep everyone safe as people make unthinkable sacrifices to protect themselves and their families.
tt1166100,Ghajini,(2008),186 min,7.3,60276,A short-term memory loss patient sets out on his journey to avenge the death of his beloved girl.
tt8291224,Uri: The Surgical Strike,(2019),138 min,8.2,59088,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group."
tt6571548,The White Tiger,(2021),125 min,7.1,59044,An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.
tt2574698,Gunday,(2014),152 min,2.6,58985,"The lives of Calcutta's most powerful Gunday, Bikram and Bala, changes when Nandita enters it. Then a counter-force takes charge and a thriller unfolds."
tt2283748,OMG: Oh My God!,(2012),125 min,8.1,57647,A shopkeeper takes God to court when his shop is destroyed by an earthquake.
tt3848892,Baby,(I) (2015),159 min,7.9,57067,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India."
tt10350922,Laxmii,(2020),141 min,2.6,56834,"Aasif visits his wife's parents' house and happens to go to a ground that is supposedly haunted. However, he is soon possessed by the spirit of a transgender who is out for revenge."
tt4387040,Airlift,(2016),130 min,7.9,56518,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen."
tt2377938,Special Chabbis,(2013),144 min,8.0,55637,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.
tt2350496,The Lunchbox,(2013),104 min,7.8,55434,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.
tt0073707,Sholay,(1975),204 min,8.1,55091,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
tt3390572,Haider,(2014),160 min,8.1,54562,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate."
tt2176013,Jab Tak Hai Jaan,(2012),198 min,6.7,54348,A woman is made to realize that her prayers and sacrifice to save her boyfriend's life may have led him to a fate worse than death.
tt4169250,M.S. Dhoni: The Untold Story,(2016),184 min,7.9,54104,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.
tt2112124,Chennai Express,(2013),141 min,6.0,53602,A man heading towards Rameshwaram via Chennai express to immerse his late grandfather's ashes unwillingly gets caught amidst goons after helping their boss's daughter and them board the train.
tt6452574,Sanju,(2018),155 min,7.6,53387,"Biopic of the controversial life of actor Sanjay Dutt: his film career, jail sentence, and personal life."
tt0109117,Andaz Apna Apna,(1994),160 min,8.0,52906,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.
tt1285241,Don 2,(2011),148 min,7.0,52518,"Don turns himself in and escapes with Vardhaan from prison, following which he recruits a team to steal currency printing plates from a bank in Berlin."
tt0420332,Veer-Zaara,(2004),192 min,7.8,52354,"Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever."
tt1093370,Jab We Met,(2007),138 min,7.9,52162,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
tt0172684,Kuch Kuch Hota Hai,(1998),177 min,7.6,51796,"During their college years, Anjali was in love with her best-friend Rahul, but he had eyes only for Tina. Years later, Rahul and the now-deceased Tina's eight-year-old daughter attempts to reunite her father and Anjali."
tt9052870,Chhichhore,(2019),143 min,8.2,50248,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers."
tt1182937,Rab Ne Bana Di Jodi,(2008),167 min,7.2,47536,"A breathtaking, goose flesh igniting, awe inspiring love journey of an ordinary man Suri and his 'total opposite' love Taani."
tt10083340,Gangubai Kathiawadi,(2022),152 min,7.0,47366,A woman becomes a powerful underworld figure.
tt0456144,Lage Raho Munna Bhai,(2006),144 min,8.0,46540,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.
tt7431594,Race 3,(2018),160 min,1.9,46124,Relationships and loyalties of a criminal family planning its next big heist are tested when some shocking revelations strike them.
tt1833673,Dhoom:3,(2013),172 min,5.3,45690,"When Sahir, a circus entertainer trained in magic and acrobatics, turns into a thief to take down a corrupt bank in Chicago that ruined his father, Indian officers Jai and Ali are called to catch him."
tt4832640,Sultan,(2016),170 min,7.0,45485,"Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds."
tt3495026,Fan,(I) (2016),142 min,6.9,45310,"Gaurav develops an obsession with a movie star who looks just like him. He goes to Bombay to meet his idol, but he refuses to grant him five minutes of his time. Gaurav is enraged and plots to destroy his hero."
tt1639426,Udaan,(2010),134 min,8.1,44774,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father."
tt5571734,Pink,(III) (2016),136 min,8.1,44290,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names."
tt3405236,Raees,(2017),143 min,6.7,43994,A bootlegger sets out to improve his community as a promising leader but falls in a political trap.
tt1839596,Rockstar,(2011),159 min,7.7,43771,"Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer."
tt2178470,Yeh Jawaani Hai Deewani,(2013),160 min,7.2,43575,"Kabir and Naina bond during a trekking trip. Before Naina can express herself, Kabir leaves India to pursue his career. They meet again years later, but he still cherishes his dreams more than bonds."
tt1024943,Om Shanti Om,(2007),162 min,6.7,42782,"In the 1970s, Om, an aspiring actor, is murdered, but is immediately reincarnated into the present day. He attempts to discover the mystery of his demise and find Shanti, the love of his previous life."
tt8239946,Tumbbad,(2018),104 min,8.2,42016,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.
tt1787988,Talaash,(2012),140 min,7.2,42013,"Inspector Surjan Shekhawat, who is dealing with a depressing past, has to investigate a high profile murder case, deal with his crumbling marriage and use the help and solace of a prostitute by the name of Rosie."
tt0238936,Devdas,(I) (2002),185 min,7.5,41671,"After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain."
tt10733228,Gehraiyaan,(2022),148 min,6.2,41645,Takes you on a journey into the deep rooted intricacies of modern human relationships.
tt13491110,Antim: The Final Truth,(2021),138 min,6.9,40058,The cop played by Salman fights the land mafia in the film.
tt13510660,Dhamaka,(2021),103 min,7.3,39789,"Reassigned from TV to radio, a frustrated anchor sees both danger and opportunity when he receives threatening calls on the air."
tt10280296,Sardar Udham,(2021),164 min,8.5,39495,A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.
tt5946128,Dear Zindagi,(2016),151 min,7.4,39464,"Kaira is a budding cinematographer in search of a perfect life. Her encounter with Jug, an unconventional thinker, helps her gain a new perspective on life. She discovers that happiness is all about finding comfort in life's imperfections."
tt2395469,Gully Boy,(2019),154 min,7.9,38342,A coming-of-age story based on the lives of street rappers in Mumbai.
tt7212754,Ludo,(2020),149 min,7.6,38315,"From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal."
tt10895576,Mimi,(I) (2021),132 min,7.9,37661,Mimi is introduced by Bhanu to an American couple as a surrogate in exchange for Rs 2 million. She decides to have the baby even when they change their mind and tells her parent that Bhanu is the father.
tt0461936,Don,(I) (2006),178 min,7.1,36957,"Vijay is recruited by a police officer to masquerade as his lookalike Don, the leader of an international gang of smugglers. Things go wrong when the officer is killed and Vijay is left to fend for himself."
tt2461132,Happy New Year,(I) (2014),180 min,4.9,36805,A gang of amateur dancers takes part in a dancing competition to avenge their personal vendetta.
tt2213054,Kai po che!,(2013),130 min,7.7,36654,Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.
tt1620933,Paan Singh Tomar,(2012),135 min,8.2,35985,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement."
tt0347473,Main Hoon Na,(2004),179 min,7.0,35276,"An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother."
tt4934950,Talvar,(2015),132 min,8.1,34782,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.
tt0375611,Black,(2005),122 min,8.1,34778,"The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world."
